,commentCount,dislikeCount,favoriteCount,likeCount,v_id,v_title,viewCount
0,567,3896,0,25125,2_WM0e-_KcQ,Aap Ki ZIP Khuli Hai Part 2 || Prank In India 2018 || FUNDAY PRANKS,2257610
1,3615,2804,0,68792,P_0zuThWjuk,Fake Police - Khoobsoorti Ka Challan Prank | The HunGama Films,1736064
2,5335,3881,0,49526,kkAVbSe1pCE,Audition Prank | Full Bakchodi by Vinay Thakur,602736
3,5984,10632,0,80998,35WZrbE-9XI,JALALS CRAZIEST ELEVATOR PRANK COMPILATION!,5309757
4,7166,6499,0,115136,W1gXp128dJw,Epic - Call Clash Prank on Girls - Singing Mix - Part #4 | The HunGama Films,2097988
5,9639,14589,0,390531,T7zY-zgX90U,Fake CID Agent Prank | Pranks In India,5736737
6,5068,3557,0,70737,MnvHJrg1SxE,Call Clash Prank |  Prank In India  | Baap of Bakchod - Raj Khanna,1422576
7,4820,5423,0,96477,EYGTxIXi0zk,Beggar Singing English Song Prank | Pranks In India | Indian Cabbie,4444370
8,500,440,0,5483,qrVxMUOBSI8,MY PROPERTY PRANK | PRANK IN INDIA | BY VJ PAWAN SINGH,117020
9,360,715,0,5921,c3wdIncJ80M,Kissing Prank India  | Pranks In India 2018| Utsav Martolia,273338
10,3570,10768,0,76816,lTFrBcG0rTg,India's Best Real Ghost Scary Horror Prank 2018 || Prank 2018|| Prank in India,15116163
11,3457,128,0,21375,Qb0iP4Nj21g,I F.E.L.L IN THE $.H.OW.ER PRANK!!!,265938
12,649,628,0,6238,eQcUZDyprhQ,CHATA CHOR PRANK | PRANK IN INDIA | BY VJ PAWAN SINGH,134270
13,3840,2843,0,60666,EY9vRBuWB2I,"Mummy, Yeh Teri Hone Wali Bahu Prank On Cute Girls !",827121
14,215,2420,0,2344,d2Kw0FG-bUU,Kissing Prank - Swimming Pool Edition,1761744
15,23458,12944,0,337211,niKoi5npA8w,Epic - Call Clash Prank on Cute Girls Bhojpuri Mix | The HunGama Films,8568575
16,1607,14105,0,159160,k-6fT8EloYI,"""Attitude Mat Dikhao!"" Prank on Cute Girls | Pranks In India",5400800
17,8662,11687,0,126055,fXo2FdKG5bo,Remote Controlled Alligator Prank 2018 - Boat Cops Called!,13131959
18,589,2539,0,14933,WnrjlPrTi7E,C O N D O M Muhh Se Phoola Do April Fool Prank (मुँह से फुला दो) || Prank On Girls || Funday Pranks,1459989
19,1919,5202,0,64308,ssH_si7odl8,SRK Call clash Prank | Oye It's Prank,3394877
20,1896,10122,0,68693,PLi3YkwvxmQ,SRK Saying Kya Aap Meri GF Banogi Prank (Gone Wrong) Comment Trolling | Oye It's Prank,3810798
21,567,395,0,3806,yDiSR-XC7z4,World's Best Real Scary Ghost Prank(Part 5)|DON'T MISS IT|Pranks in India|The Japes,110623
22,372,1430,0,8578,10L_VcnaDLk,SLIME SHAMPOO PRANK ON GIRLFRIEND!!,158279
23,2948,2839,0,52224,QYHo-MQqJrs,Sakht Launda Prank on Girls  - Comment Trolling #26 | The HunGama Films,1186647
24,4086,4005,0,115872,prZM-Hj8Q4o,Epic - Call Clash Prank on Girls  - Bhojpuri Mix - Part #5 | The HunGama Films,1303484
25,3990,310,0,21583,7G4ea7tAyJ8,I SAID MY EX'S NAME IN MY SLEEP! (PRANK ON BOYFRIEND!),302788
26,1035,2465,0,17795,uQJtCB4uLV8,PUBG Prank in India - PUBG in Real Life | Baap of Bakchod - Raj,335556
27,14399,9566,0,115857,2C7yMtMpdqk,Fake Celebrity Prank | VIRAT KOHLI | Fans Awesome Reactions,5867277
28,1073,1902,0,13988,gooayyupZP8,AAP PEDDLER HO NA PRANK | SRK | Oye It's Prank (Gone Wrong),424576
29,434,587,0,6666,1nemSWYvmIE,Cute Girl Holding People's Hand Prank Part 2 in Public |Funniest Prank| Pranks in India,305229
30,42964,50852,0,650214,KQEX5FKpevE,SHAMPOO PRANK PART 9! | HoomanTV,80855760
31,155,16,0,663,xe35IuJMazo,Disturbing People In Washroom Prank  |  POOP Prank | Prank in Pakistan,4080
32,1692,251,0,18359,DiwWgwQ2nts,PRANK MOBIL ILANG - GALUCU SUMPAH GW GEMETERAN | AA UTAP,246859
33,2312,1100,0,27869,QoUXMS5Thj0,| Park Prank | By Nadir Ali & Rizwan In | P4 Pakao | 2018,906401
34,4655,4373,0,20368,-68cYRtStkk,Chair Pull Pie in The Face Prank,436368
35,1921,16234,0,200701,aacF2YE8ty0,"Kid Calling Cute Girls ""Maaji"" Prank | Part 3 | Pranks In India",8761194
